Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1,Text Area 2,Text Area 3
1,Page,,,,,,,,, Blank UML,,
2,Class,UML,1,,,,,,,Collar,,
3,Class,UML,1,,,,,,,"<<interface>>
Animal","walk(int): int
makeSound(int)",
4,Class,UML,1,,,,,,,Dog,"+ collar: Collar
+ height: int
- pulse: int = 120
- commands: List<Command>","+ Dog()
+ walk(int): int
+ makeSound(int)
- bark(int)"
5,Class,UML,1,,,,,,,Cat,,"+ walk(int): int
+ makeSound(int)
- meow(int)"
6,Class,UML,1,,,,,,,Command,,
7,Class,UML,1,,,,,,,House,+ pets: List<Animal>,
8,Line,,1,,,,3,Aggregation,None,0..*,,
9,Line,,1,,,4,3,None,Generalization,,,
10,Line,,1,,,5,3,None,Generalization,,,
11,Line,,1,,,4,2,Aggregation,None,1,,
12,Line,,1,,,4,6,Aggregation,None,0..*,,
